Class, Species, Fb,Ft,Fv,Fc_perp,Fc_par,E
Douglas Fir-Larch Select Structural,1500,1000,95,625,1700,"1,900,000"
Douglas Fir-Larch No 1 and better,1200,800,95,625,1550,"1,800,000"
Douglas Fir-Larch No. 1 ,1000,675,95,625,1500,"1,700,000"
Douglas Fir-Larch No. 2 ,900,575,95,625,"1,350","1,600,000"
Douglas Fir-Larch Construction ,1000,650,95,625,1650,"1,500,000"
Douglas Fir-Larch Standard.,575,375,95,625,1400,"1,400,000"
> (5 x 5) Douglas Fir-Larch Select Structural,1500,1000,85,625,1100,"1,600,000"
> (5 x 5) Douglas Fir-Larch No. 1 ,1200,825,85,625,700,"1,600,000"
> (5 x 5) Douglas Fir-Larch No. 2 ,750,475,85,625,600,"1,300,000"
Douglas Fir-Larch (North) Select Structural,1350,825,95,625,1900,"1,900,000"
Douglas Fir-Larch (North) No. 1 / No. 2,850,500,95,625,1400,"1,600,000"
Douglas Fir-Larch (North) Construction,950,575,95,625,1800,"1,500,000"
Douglas Fir-Larch (North) Standard,525,325,95,625,1450,"1,400,000"
> (5 x 5) Douglas Fir-Larch (North) Select Structural,1500,1000,85,625,1150,"1,600,000"
> (5 x 5) Douglas Fir-Larch (North) No. 1 ,1200,825,85,625,1000,"1,600,000"
> (5 x 5) Douglas Fir-Larch (North) No. 2,725,475,85,625,700,"1,300,000"
Douglas Fir (South) Select Structural,1350,900,90,520,1600,"1,400,000"
Douglas Fir (South) No. 1,925,600,90,520,1450,"1,300,000"
Douglas Fir (South) No. 2,850,525,90,520,1350,"1,200,000"
Douglas Fir (South) Construction,975,600,90,520,1650,"1,200,000"
Douglas Fir (South) Standard,550,350,90,520,1400,"1,100,000"
> (5 x 5) Douglas Fir (South) select structural,1400,950,85,520,1050,"1,200,000"
> (5 x 5) Douglas Fir (South) No. 1,1150,775,85,520,925,"1,200,000"
> (5 x 5) Douglas Fir (South) No. 2,650,400,85,520,425,"1,000,000"
Hem-Fir Select Structural,1400,925,75,405,1500,"1,600,000"
Hem-Fir No 1 and better,1100,725,75,405,1350,"1,500,000"
Hem-Fir No.1,975,625,75,405,1350,"1,500,000"
Hem-Fir No. 2,850,525,75,405,1300,"1,300,000"
Hem-Fir Construction,975,600,75,405,1550,"1,300,000"
Hem-Fir Standard,550,325,75,405,1300,"1,200,000"
> (5 x 5) Hem-Fir Select Structural,1200,800,70,405,975,"1,300,000"
> (5 x 5) Hem-Fir No. 1,950,650,70,408,850,"1,300,000"
> (5 x 5) Hem-Fir No. 2 ,525,350,70,405,375,"1,100,000"
Hem-Fir (North) Select Structural,1300,775,75,370,1700,"1,700,000"
Hem-Fir (North) No. 1 / No. 2,1000,575,75,370,1450,"1,600,000"
Hem-Fir (North) Construction,1150,650,75,370,1750,"1,500,000"
Hem-Fir (North) Standard,650,350,75,370,1500,"1,400,000"
> (5 x 5) Hem-Fir (North) Select Structural,1150,775,70,370,950,"1,300,000"
> (5 x 5) Hem-Fir (North) No. 1,92,625,70,370,850,"1,300,000"
> (5 x 5) Hem-Fir (North) No. 2,550,375,70,370,575,"1,100,000"
Mixed Oak Select Structural,1150,675,85,800,1000,"1,100,000"
Mixed Oak No. 1,825,500,85,800,825,"1,000,000"
Mixed Oak No. 2,800,475,85,800,625,"900,000"
Mixed Oak Construction,925,550,85,800,850,"900,000"
Mixed Oak Standard,525,300,85,800,650,"800,000"
> (5 x 5) Mixed Oak Select Structural,1250,850,80,800,875,"1,000,000"
> (5 x 5) Mixed Oak No. 1,1000,675,80,800,775,"1,000,000"
> (5 x 5) Mixed Oak No. 2,575,400,80,800,350,"800,000"
Red Oak Select Structural,1150,675,85,820,1000,"1,400,000"
Red Oak No. 1,825,500,85,820,825,"1,300,000"
Red Oak No. 2,800,475,85,820,625,"1,200,000"
Red Oak Construction,925,550,85,820,850,"1,200,000"
Red Oak Standard,525,300,85,820,650,"1,100,000"
> (5 x 5) Red Oak Select Structural,1250,850,80,820,875,"1,200,000"
> (5 x 5) Red Oak No. 1,1000,675,80,820,775,"1,200,000"
> (5 x 5) Red Oak No. 2,575,400,80,820,350,"1,000,000"
Spruce-Pine-Fir Select Structural,1250,700,70,425,1400,"1,500,000"
Spruce-Pine-Fir No. 1  / No. 2,875,450,70,425,1150,"1,400,000"
Spruce-Pine-Fir Construction,1000,500,70,425,1400,"1,300,000"
Spruce-Pine-Fir Standard,550,275,70,425,1150,"1,200,000"
> (5 x 5) Spruce-Pine-Fir Select Structural,1050,700,65,425,800,"1,300,000"
> (5 x 5) Spruce-Pine-Fir No. 1 ,850,550,65,425,700,"1,300,000"
> (5 x 5) Spruce-Pine-Fir No. 2,500,325,65,425,500,"1,000,000"
Spruce-Pine-Fir (South) Select Structural,1300,575,70,335,1200,"1,300,000"
Spruce-Pine-Fir (South) No. 1  ,875,400,70,335,1050,"1,200,000"
Spruce-Pine-Fir (South) No. 2 ,775,350,70,335,1000,"1,100,000"
Spruce-Pine-Fir (South) Construction,875,400,70,335,1200,"1,000,000"
Spruce-Pine-Fir (South) Standard,500,225,70,335,1000,"900,000"
> (5 x 5) Spruce-Pine-Fir (South) Select Structural,1000,650,65,335,700,"1,200,000"
> (5 x 5) Spruce-Pine-Fir (South) No. 1 ,800,550,65,335,625,"1,200,000"
> (5 x 5) Spruce-Pine-Fir (South) No. 2 ,475,325,65,335,425,"1,000,000"
White Oak Select Structural,1200,700,110,800,1100,"1,000,000"
White Oak No. 1,875,500,110,800,900,"1,000,000"
White Oak No. 2,850,500,110,800,700,"900,000"
White Oak Construction,950,550,110,800,925,"900,000"
White Oak Standard,525,325,110,800,725,"800,000"
> (5 x 5) White Oak Select Structural ,1300,875,105,800,950,"1,000,000"
> (5 x 5) White Oak No. 1,1050,700,105,800,825,"1,000,000"
> (5 x 5) White Oak No. 2,600,400,105,800,400,"800,000"
Mixed Southern Pine Select Structural,2050,1200,100,565,1800,"1,600,000"
Mixed Southern Pine No. 1,1450,875,100,565,1650,"1,500,000"
Mixed Southern Pine No. 2,1300,775,90,565,1650,"1,400,000"
Mixed Southern Pine Construction,1000,600,100,565,1700,"1,300,000"
Mixed Southern Pine Standard,550,325,90,565,1450,"1,200,000"
> (5 x 5) Mixed Southern Pine Select Structural,1500,1000,110,375,950,"1,500,000"
> (5 x 5) Mixed Southern Pine No. 1,1350,900,110,375,825,"1,500,000"
> (5 x 5) Mixed Southern Pine No. 2,850,550,100,375,525,"1,200,000"
Southern Pine Dense Select Structural,2050,1100,90,660,1950,"1,900,000"
Southern Pine Select Structural,1900,1050,90,565,1800,"1,800,000"
Southern Pine No. 1 Dense,1350,725,90,660,1700,"1,800,000"
Southern Pine No. 1,1250,675,90,565,1600,"1,700,000"
Southern Pine No. 2 Dense,1150,575,90,660,1600,"1,700,000"
Southern Pine No. 2,1050,575,90,565,1500,"1,600,000"
